Start	Finish	Task	CPU Decision	Frequency
3368.000000	3370.000000	T[3][7]	Execute()	1.000000
3370.000000	3371.000000	T[1][239]	Execute()	1.000000
3371.000000	3373.000000	T[0][419]	Execute()	1.000000
3373.000000	3374.000000	T[0][420]	Execute()	1.000000
3374.000000	_______	T[1][242]	DelayedArrival	____
3374.000000	3375.000000	T[0][420]	Execute()	1.000000
3375.000000	3375.500000	T[1][240]	Execute()	1.000000
3375.500000	3376.000000	T[0][421]	Execute()	1.000000
3376.000000	_______	T[0][423]	DelayedArrival	____
3376.000000	3377.500000	T[0][421]	Execute()	1.000000
3377.500000	3382.000000	____	Sleep	____
3382.000000	3382.500000	T[0][422]	Execute()	1.000000
3382.500000	3387.000000	____	Sleep	____
3383.500000	_______	T[0][424]	DelayedArrival	____
3387.000000	3388.000000	T[1][241]	Execute()	1.000000
3388.000000	_______	T[1][243]	DelayedArrival	____
3388.000000	3390.000000	____	Sleep	____
3390.000000	3391.000000	T[0][423]	Execute()	1.000000
3391.000000	3396.000000	____	Sleep	____
3391.500000	_______	T[0][425]	DelayedArrival	____
3396.000000	3397.000000	T[0][424]	Execute()	1.000000
3397.000000	3397.500000	T[1][242]	Execute()	1.000000
3397.500000	3399.000000	____	Sleep	____
3399.000000	3400.000000	T[2][13]	Execute()	1.000000
3400.000000	_______	T[0][426]	DelayedArrival	____
3400.000000	3401.000000	T[0][425]	Execute()	1.000000
3401.000000	3402.000000	T[2][13]	Execute()	1.000000
3402.000000	_______	T[1][244]	DelayedArrival	____
3402.000000	3403.000000	T[1][243]	Execute()	1.000000
3403.000000	3413.000000	____	Sleep	____
3408.000000	_______	T[0][427]	DelayedArrival	____
3413.000000	3413.500000	T[0][426]	Execute()	1.000000
3413.500000	3416.000000	T[2][13]	Execute()	1.000000
3416.000000	_______	T[0][428]	DelayedArrival	____
3416.000000	_______	T[1][245]	DelayedArrival	____
3416.000000	3416.500000	T[0][427]	Execute()	1.000000
3416.500000	3424.000000	T[2][13]	Execute()	1.000000
3424.000000	_______	T[0][429]	DelayedArrival	____
3424.000000	3430.000000	T[2][13]	Execute()	1.000000
3430.000000	_______	T[1][246]	DelayedArrival	____
3430.000000	_______	T[2][15]	DelayedArrival	____
3430.000000	3431.000000	T[2][13]	Execute()	1.000000
3431.000000	3431.500000	T[1][244]	Execute()	1.000000
3431.500000	3432.000000	T[0][428]	Execute()	1.000000
